Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2018-2-9,58,147,19596,11,19,8
2018-2-10,58,161,19599,3,17,14
2018-2-11,58,152,19620,21,12,-9
2018-2-12,59,154,19622,2,4,2
2018-2-13,59,156,19645,23,25,2
2018-2-14,59,114,19716,71,29,-42
2018-2-15,59,132,19718,2,20,18
2018-2-16,59,115,19766,48,31,-17
2018-2-17,59,123,19792,26,34,8
2018-2-18,59,140,19795,3,20,17
2018-2-19,60,133,19809,14,7,-7
2018-2-20,60,138,19817,8,13,5
2018-2-21,60,161,19824,7,30,23
2018-2-22,60,185,19829,5,29,24
2018-2-23,60,198,19840,11,24,13
2018-2-24,60,212,19845,5,19,14
2018-2-25,60,220,19847,2,10,8
2018-2-26,61,236,19848,1,17,16
2018-2-27,61,184,19921,73,21,-52
2018-2-28,61,204,19931,10,30,20
2018-3-1,61,182,19973,42,20,-22
2018-3-2,61,157,20018,45,20,-25
2018-3-3,61,161,20043,25,29,4
2018-3-4,61,171,20047,4,14,10
2018-3-5,62,174,20049,2,5,3
2018-3-6,62,162,20083,34,22,-12
2018-3-7,62,159,20107,24,21,-3
2018-3-8,62,149,20132,25,15,-10
2018-3-9,62,134,20167,35,20,-15
2018-3-10,62,142,20187,20,28,8
2018-3-11,62,156,20187,0,14,14
2018-3-12,63,166,20189,2,12,10
2018-3-13,63,182,20191,2,18,16
2018-3-14,63,198,20196,5,21,16
2018-3-15,63,211,20202,6,19,13
2018-3-16,63,152,20286,84,25,-59
2018-3-17,63,142,20313,27,17,-10
2018-3-18,63,148,20314,1,7,6
2018-3-19,64,159,20314,0,11,11
2018-3-20,64,183,20317,3,27,24
2018-3-21,64,189,20337,20,26,6
2018-3-22,64,180,20361,24,15,-9
2018-3-23,64,179,20377,16,15,-1
2018-3-24,64,166,20415,38,25,-13
2018-3-25,64,173,20417,2,9,7
2018-3-26,65,180,20422,5,12,7
2018-3-27,65,158,20461,39,17,-22
2018-3-28,65,144,20501,40,26,-14
2018-3-29,65,138,20525,24,18,-6
2018-3-30,65,138,20547,22,22,0
2018-3-31,65,149,20557,10,21,11
2018-4-1,65,159,20558,1,11,10
2018-4-2,66,165,20558,0,6,6
2018-4-3,66,175,20564,6,16,10
2018-4-4,66,141,20613,49,15,-34
2018-4-5,66,146,20629,16,21,5
2018-4-6,66,154,20642,13,21,8
2018-4-7,66,164,20658,16,26,10
2018-4-8,66,175,20658,0,11,11
2018-4-9,67,196,20660,2,23,21
2018-4-10,67,61,20825,165,30,-135
2018-4-11,67,65,20847,22,26,4
2018-4-12,67,65,20883,36,36,0
2018-4-13,67,67,20901,18,20,2
2018-4-14,67,70,20919,18,21,3
2018-4-15,67,59,20941,22,11,-11
2018-4-16,68,71,20942,1,13,12
2018-4-17,68,65,20977,35,29,-6
2018-4-18,68,54,21017,40,29,-11
2018-4-19,68,59,21044,27,32,5
2018-4-20,68,70,21068,24,35,11
2018-4-21,68,69,21093,25,24,-1
2018-4-22,68,83,21096,3,17,14
2018-4-23,69,100,21096,0,17,17
2018-4-24,69,117,21097,1,18,17
2018-4-25,69,77,21172,75,35,-40
2018-4-26,69,84,21196,24,31,7
2018-4-27,69,74,21241,45,35,-10
2018-4-28,69,65,21266,25,16,-9
2018-4-29,69,75,21267,1,11,10
2018-4-30,70,85,21269,2,12,10
2018-5-1,70,98,21286,17,30,13
2018-5-2,70,88,21317,31,21,-10
2018-5-3,70,104,21328,11,27,16
2018-5-4,70,86,21369,41,23,-18
2018-5-5,70,74,21394,25,13,-12
2018-5-6,70,80,21396,2,8,6
2018-5-7,71,92,21398,2,14,12
2018-5-8,71,38,21465,67,13,-54
2018-5-9,71,49,21492,27,38,11
2018-5-10,71,63,21514,22,36,14
2018-5-11,71,60,21534,20,17,-3
2018-5-12,71,65,21549,15,20,5
2018-5-13,71,75,21550,1,11,10
2018-5-14,72,89,21551,1,15,14
2018-5-15,72,87,21579,28,26,-2
2018-5-16,72,85,21602,23,21,-2
2018-5-17,72,89,21618,16,20,4
2018-5-18,72,111,21623,5,27,22
2018-5-19,72,85,21665,42,16,-26
2018-5-20,72,90,21665,0,5,5
2018-5-21,73,105,21665,0,15,15
2018-5-22,73,106,21684,19,20,1
2018-5-23,73,109,21702,18,21,3
2018-5-24,73,120,21723,21,32,11
2018-5-25,73,146,21730,7,33,26
2018-5-26,73,158,21736,6,18,12
2018-5-27,73,144,21761,25,11,-14
2018-5-28,74,140,21776,15,11,-4
2018-5-29,74,157,21781,5,22,17
2018-5-30,74,140,21832,51,34,-17
2018-5-31,74,158,21839,7,25,18
2018-6-1,74,97,21924,85,24,-61
2018-6-2,74,91,21955,31,25,-6
2018-6-3,74,107,21955,0,16,16
2018-6-4,75,113,21963,8,14,6
2018-6-5,75,102,21994,31,20,-11
2018-6-6,75,98,22029,35,31,-4
2018-6-7,75,94,22058,29,25,-4
2018-6-8,75,106,22067,9,21,12
2018-6-9,75,117,22078,11,22,11
2018-6-10,75,127,22082,4,14,10
2018-6-11,76,139,22086,4,16,12
2018-6-12,76,142,22120,34,37,3
2018-6-13,76,175,22122,2,35,33
2018-6-14,76,144,22180,58,27,-31
2018-6-15,76,167,22183,3,26,23
2018-6-16,76,162,22210,27,22,-5
2018-6-17,76,169,22212,2,9,7
2018-6-18,77,180,22215,3,14,11
2018-6-19,77,148,22272,57,25,-32
2018-6-20,77,120,22325,53,25,-28
2018-6-21,77,75,22398,73,28,-45
2018-6-22,77,63,22432,34,22,-12
2018-6-23,77,68,22449,17,22,5
2018-6-24,77,82,22449,0,14,14
2018-6-25,78,96,22451,2,16,14
2018-6-26,78,86,22499,48,38,-10
2018-6-27,78,68,22540,41,23,-18
2018-6-28,78,79,22558,18,29,11
2018-6-29,78,81,22583,25,27,2
2018-6-30,78,70,22615,32,21,-11
2018-7-1,78,70,22618,3,3,0
2018-7-2,79,76,22620,2,8,6
2018-7-3,79,56,22671,51,31,-20
2018-7-4,79,45,22707,36,25,-11
